date,type,company,headline,round,amount,investors,sector,county,source_url
,press,,Coworking,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/coworking/
,press,,Colleges & Schools,,,,University,Clay,https://www.usd.edu/Academics/Colleges-and-Schools
,press,,Accelerated Programs,,,,University,Clay,https://www.usd.edu/Academics/Accelerated-Programs
,press,,Signature Programs,,,,University,Clay,https://www.usd.edu/Academics/Signature-Programs
,press,,Continuing Education,,,,University,Clay,https://www.usd.edu/Academics/Continuing-Education
,press,,Libraries,,,,University,Clay,https://www.usd.edu/Academics/Libraries
,press,,Academic Calendars,,,,University,Clay,https://www.usd.edu/Academics/Academic-Calendars
,press,,Admissions & Aid,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid
,press,,Undergraduate Admissions,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/Undergraduate-Admissions
,press,,Graduate Admissions,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/Graduate-Admissions
,press,,International Admissions,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/International-Admissions
,press,,Law School Admissions,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/Law-School-Admissions
,press,,Medical School Admissions,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/Medical-School-Admissions
,press,,Military & Veterans' Admissions,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/Military-Veterans-Admissions
,press,,Visit USD,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/Visit-USD
,press,,Tuition & Costs,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/Tuition-and-Costs
,press,,Financial Aid,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/Financial-Aid
,press,,Research,,,,University,Clay,https://www.usd.edu/Research-and-Faculty
,press,,Undergraduate Research,,,,University,Clay,https://www.usd.edu/Research-and-Faculty/Undergraduate-Research
,press,,Graduate Research,,,,University,Clay,https://www.usd.edu/Research-and-Faculty/Graduate-Research
,press,,Business & Entrepreneurship Research,,,,University,Clay,https://www.usd.edu/Research-and-Faculty/Business-and-Entrepreneurship-Research
,press,,Health & Medicine Research,,,,University,Clay,https://www.usd.edu/Research-and-Faculty/Health-and-Medicine-Research
,press,,Humanities & Culture Research,,,,University,Clay,https://www.usd.edu/Research-and-Faculty/Humanities-and-Culture-Research
,press,,Learning & Leadership Research,,,,University,Clay,https://www.usd.edu/Research-and-Faculty/Learning-and-Leadership-Research
,press,,Public Service & Law Research,,,,University,Clay,https://www.usd.edu/Research-and-Faculty/Public-Service-and-Law-Research
,press,,Science & Technology Research,,,,University,Clay,https://www.usd.edu/Research-and-Faculty/Science-and-Technology-Research
,press,,Faculty & Staff Directory,,,,University,Clay,https://www.usd.edu/Research-and-Faculty/Faculty-and-Staff
,press,,Student Life,,,,University,Clay,https://www.usd.edu/Student-Life
,press,,Housing & Dining,,,,University,Clay,https://www.usd.edu/Student-Life/Housing-and-Dining
,press,,Dual Credit,,,,University,Clay,https://www.usd.edu/Academics/Dual-Credit
,press,,USD – Online,,,,University,Clay,https://www.usd.edu/Academics/USD-Online
,press,,Health & Wellness,,,,University,Clay,https://www.usd.edu/Student-Life/Health-and-Wellness
,press,,USD – Sioux Falls,,,,University,Clay,https://www.usd.edu/Academics/USD-Sioux-Falls
,press,,Graduate,,,,University,Brookings,https://www.sdstate.edu/admissions/graduate-admissions
,press,,Online,,,,University,Brookings,https://www.sdstate.edu/continuing-distance-education/online-campus-programs
,press,,International,,,,University,Brookings,https://www.sdstate.edu/international-student-scholar-engagement/international-admissions
,press,,Paying for College,,,,University,Brookings,https://www.sdstate.edu/admissions/paying
,press,,Housing and Dining,,,,University,Brookings,https://www.sdstate.edu/housing-residential-life
,press,,University Wellbeing,,,,University,Brookings,https://www.sdstate.edu/university-wellbeing
,press,,Parents and Families,,,,University,Brookings,https://www.sdstate.edu/student-life/division-student-affairs-enrollment-management/parents-families
,press,,Community,,,,University,Brookings,https://www.sdstate.edu/community
,press,,Camps and Conferences,,,,University,Brookings,https://www.sdstate.edu/event-calendar?department=43991
,press,,Family Weekend,,,,University,Brookings,https://www.sdstate.edu/family-weekend
,press,,SDState Experience,,,,University,Brookings,https://www.sdstate.edu/sdstate-event-experience
,press,,Event Calendar,,,,University,Brookings,https://www.sdstate.edu/event-calendar
,press,,...,,,,University,Brookings,https://www.sdstate.edu/
,press,,Twitter,,,,University,Brookings,http://twitter.com/sdstate
,press,,Linkedin,,,,University,Brookings,http://www.linkedin.com/company/south-dakota-state-university
,press,,Facebook,,,,University,Brookings,http://www.facebook.com/SouthDakotaStateUniversity
,press,,X.com,,,,University,Brookings,https://x.com/SDState
,press,,Apply,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/Apply
,press,,Visit,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/Visit-USD
,press,,Request Information,,,,University,Clay,https://www.usd.edu/Admissions-and-Aid/Request-Information
,press,,Academics,,,,University,Clay,https://www.usd.edu/Academics
,press,,Undergraduate Programs,,,,University,Clay,https://www.usd.edu/Academics/Undergraduate-Programs
,press,,Graduate Programs,,,,University,Clay,https://www.usd.edu/Academics/Graduate-Programs
,press,,Activities & Involvement,,,,University,Clay,https://www.usd.edu/Student-Life/Activities-and-Involvement
,press,,Academic & Campus Support,,,,University,Clay,https://www.usd.edu/Student-Life/Academic-and-Campus-Support
,press,,Undergraduate,,,,University,Brookings,https://www.sdstate.edu/admissions/undergraduate-admissions
,press,,The Vault,,,,Media,Regional,https://www.grandforksherald.com/news/the-vault
,press,,WDAY Live,,,,Media,Regional,https://www.grandforksherald.com/inforum-wday-live
,press,,Forum News Network,,,,Media,Regional,https://www.grandforksherald.com/forum-news-network
,press,,Weather,,,,Media,Regional,https://www.grandforksherald.com/weather
,press,,Sports,,,,Media,Regional,https://www.grandforksherald.com/sports
,press,,Prep,,,,Media,Regional,https://www.grandforksherald.com/sports/prep
,press,,Prep standings,,,,Media,Regional,https://www.grandforksherald.com/sports/calendar-and-standings
,press,,College,,,,Media,Regional,https://www.grandforksherald.com/sports/college
,press,,FCS Standings,,,,Media,Regional,https://www.grandforksherald.com/sports/college/fcs-conference-standings
,press,,UND Hockey,,,,Media,Regional,https://www.grandforksherald.com/sports/und-hockey-central
,press,,Pro,,,,Media,Regional,https://www.grandforksherald.com/sports/pro
,press,,Northland Outdoors,,,,Media,Regional,https://www.grandforksherald.com/sports/northland-outdoors
,press,,WDAY+,,,,Media,Regional,https://www.inforum.com/wdayplus
,press,,Obituaries,,,,Media,Regional,https://www.grandforksherald.com/obituaries
,press,,Health,,,,Media,Regional,https://www.grandforksherald.com/health
,press,,Business,,,,Media,Regional,https://www.grandforksherald.com/business
,press,,Announcements,,,,Media,Regional,https://www.grandforksherald.com/business/announcements
,press,,Opinion,,,,Media,Regional,https://www.grandforksherald.com/opinion
,press,,Editorials,,,,Media,Regional,https://www.grandforksherald.com/opinion/editorials
,press,,Columns,,,,Media,Regional,https://www.grandforksherald.com/opinion/columns
,press,,Letters,,,,Media,Regional,https://www.grandforksherald.com/opinion/letters
,press,,Lifestyle,,,,Media,Regional,https://www.grandforksherald.com/lifestyle
,press,,Arts / Entertainment,,,,Media,Regional,https://www.grandforksherald.com/lifestyle/arts-and-entertainment
,press,,Home / Garden,,,,Media,Regional,https://www.grandforksherald.com/topics/home-and-garden
,press,,Astro Bob,,,,Media,Regional,https://www.grandforksherald.com/lifestyle/astro-bob
,press,,Comics,,,,Media,Regional,https://www.grandforksherald.com/lifestyle/comics
,press,,On the Minds of Moms,,,,Media,Regional,https://www.grandforksherald.com/lifestyle/on-the-minds-of-moms
,press,,Free Games,,,,Media,Regional,https://www.grandforksherald.com/lifestyle/arts-and-entertainment/games
,press,,Agweek,,,,Media,Regional,https://www.agweek.com
,press,,World,,,,Media,Regional,https://www.grandforksherald.com/news/world
,press,,Career Services,,,,University,Clay,https://www.usd.edu/Student-Life/Career-Services
,press,,National,,,,Media,Regional,https://www.grandforksherald.com/news/national
,press,,Special Events & Traditions,,,,University,Clay,https://www.usd.edu/Student-Life/Special-Events-and-Traditions
,press,,Arts & Culture,,,,University,Clay,https://www.usd.edu/Student-Life/Arts-and-Culture
,press,,Security & Safety,,,,University,Clay,https://www.usd.edu/Student-Life/Security-and-Safety
,press,,Athletics,,,,University,Clay,https://www.usd.edu/Athletics
,press,,About,,,,University,Clay,https://www.usd.edu/About
,press,,At a Glance,,,,University,Clay,https://www.usd.edu/About/At-a-Glance
,press,,Vermillion Campus & Community,,,,University,Clay,https://www.usd.edu/About/Vermillion-Campus-and-Community
,press,,Sioux Falls Campus & Community,,,,University,Clay,https://www.usd.edu/About/Sioux-Falls-Campus-and-Community
,press,,"Campus Maps, Directions & Parking",,,,University,Clay,https://www.usd.edu/About/Campus-Maps-Directions-and-Parking
,press,,📣 Advertise With Us,,,,Media,Regional,https://advertising.forumcomm.com/locations/grand-forks/
,press,,PB October Issue,,,,Media,Regional,https://www.flipsnack.com/FFDE5ADD75E/prairie-business-october-2025/full-view.html?p=1&td=Ym9va3NoZWxmOno5eXQwd3lpbHc%3D&fd=true
,press,,Bid and Buy,,,,Media,Regional,https://www.cityxpress.com/forum/company/auction/def.jsp#
,press,,🏆 Best of the Best,,,,Media,Regional,https://www.grandforksherald.com/community/contests-auctions/best-of-the-best-2025
,press,,Advertise With Us,,,,Media,Regional,https://advertising.forumcomm.com?utm_source=newswebsite&utm_medium=navigation&utm_campaign=menu&utm_term=navigation&utm_content=advertisewithus
,press,,Digital Advertising,,,,Media,Regional,https://advertising.forumcomm.com/services/digital-advertising?utm_source=newswebsite&utm_medium=navigation&utm_campaign=menu&utm_term=navigation&utm_content=digitaladvertising
,press,,Print Advertising,,,,Media,Regional,https://advertising.forumcomm.com/services/print?utm_source=newswebsite&utm_medium=navigation&utm_campaign=menu&utm_term=navigation&utm_content=printadvertising
,press,,Printing Services,,,,Media,Regional,https://advertising.forumcomm.com/services/commercial-printing?utm_source=newswebsite&utm_medium=navigation&utm_campaign=menu&utm_term=navigation&utm_content=printingservices
,press,,TV Advertising,,,,Media,Regional,https://advertising.forumcomm.com/services/tv?utm_source=newswebsite&utm_medium=navigation&utm_campaign=menu&utm_term=navigation&utm_content=tvadvertising
,press,,Video Services,,,,Media,Regional,https://advertising.forumcomm.com/services/video-production?utm_source=newswebsite&utm_medium=navigation&utm_campaign=menu&utm_term=navigation&utm_content=videoservices
,press,,Place a Public Notice,,,,Media,Regional,https://grandforksherald.column.us/place
,press,,Get Our Advertising Newsletter,,,,Media,Regional,https://advertising.forumcomm.com/newsletter-sign-up?utm_source=newswebsite&utm_medium=navigation&utm_campaign=menu&utm_term=navigation&utm_content=getouradvertisingnewsletter
,press,,Sponsored Content,,,,Media,Regional,https://www.grandforksherald.com/sponsored-content
,press,,News,,,,Media,Regional,https://www.grandforksherald.com/news
,press,,Local,,,,Media,Regional,https://www.grandforksherald.com/news/local
,press,,Minnesota,,,,Media,Regional,https://www.grandforksherald.com/news/minnesota
,press,,North Dakota,,,,Media,Regional,https://www.grandforksherald.com/news/north-dakota
,press,,South Dakota,,,,Media,Regional,https://www.grandforksherald.com/news/south-dakota
,press,,Transfer,,,,University,Brookings,https://www.sdstate.edu/admissions/transfer-student-admission-requirements
,press,,Admissions,,,,University,Brookings,https://www.sdstate.edu/admissions
,press,,Space Rental,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/space-rental/
,press,,Programs,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/programs/
,press,,Member Directory,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/member-directory/
,press,,Facebook Community,,,,Startup,Minnehaha,https://www.facebook.com/groups/SiouxFallsAreaEntrepreneurs
,press,,Articles,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/category/news/
,press,,Start Dakota Podcast,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/startdakota/
,press,,Resource Organizations,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/resources/
,press,,Startup Swag Shop,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/shop/
,press,,Newsletter,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/newsletter/
,press,,Contact,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/contact/
,press,,2024 Annual Report,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/wp-content/uploads/2024/12/2024-Startup-Sioux-Falls-Annual-Report.pdf
,press,,2023 Annual Report,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/2023-annual-report/
,press,,Founder Funder Scholarship Fund,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/about/founder-funder-scholarship-fund/
,press,,Community Navigator Pilot Program,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/resources/community-navigator/
,press,,START HERE,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/wayfinding/
,press,,Resources,,,,Startup,Pennington,resources/
,press,,Ribbon Cuttings & Groundbreakings,,,,Startup,Pennington,ribbon-cutting/
,press,,Economic Indicators,,,,Startup,Pennington,resources/rapid-city-economic-indicators/
,press,,Housing Dashboard,,,,Startup,Pennington,resources/housing-dashboard/
,press,,Elevate Leadership Institute,,,,Startup,Pennington,elevate-leadership-institute/
,press,,Grants/Loans,,,,Startup,Pennington,resources/grants-loans/
,press,,Housing Study,,,,Startup,Pennington,resources/housing-study/
,press,,Young Professionals Group,,,,Startup,Pennington,ypg/
,press,,Market Research Center,,,,Startup,Pennington,resources/market-research-center/
,press,,Economic Development,,,,Startup,Pennington,econ-dev/
,press,,Available Properties,,,,Startup,Pennington,available-properties/
,press,,Attend a Meetup,,,,Startup,Minnehaha,https://docs.google.com/forms/d/1ReQSYcpVzt5dBRKBlm166YPhWs9IEjiMt76btJ16P6o/edit?ts=64bebca6
,press,,Why Rapid City,,,,Startup,Pennington,economic-development/why-rapid-city/
,press,,Startup Sunrise,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/startup-sunrise/
,press,,Events,,,,Startup,Minnehaha,https://www.startupsiouxfalls.com/events/
,press,,Innovation Expo + Pitch Night,,,,Startup,Minnehaha,https://www.eventcreate.com/e/innovationandpitchnight2025
,press,,Member Login,,,,Startup,Minnehaha,https://startupsiouxfalls.officernd.com/login
,press,,Incentives,,,,Startup,Pennington,economic-development/incentives/
,press,,Rapid City Rankings,,,,Startup,Pennington,rapid-city-rankings/
,press,,Library,,,,University,Brookings,https://www.sdstate.edu/hilton-m-briggs-library
,press,,Contact Us,,,,Startup,Pennington,forms/contact/
,press,,Email Opt-In,,,,Startup,Pennington,forms/email-sign-up/
,press,,Degree Finder,,,,University,Brookings,https://www.sdstate.edu/degree-explorer
,press,,Faculty and Staff,,,,University,Brookings,https://www.sdstate.edu/directory
,press,,Office Directory,,,,University,Brookings,https://www.sdstate.edu/office-directory
,press,,Campus Map,,,,University,Brookings,https://map.concept3d.com/?id=1971
,press,,SDSTATE,,,,University,Brookings,https://www.sdstate.edu/
,press,,About Us,,,,University,Brookings,https://www.sdstate.edu/about-us
,press,,Awards and Rankings,,,,University,Brookings,https://www.sdstate.edu/about-us/awards-rankings
,press,,University Facts,,,,University,Brookings,https://www.sdstate.edu/about-us/university-facts
,press,,Consumer Information,,,,University,Brookings,https://www.sdstate.edu/office-financial-aid-scholarships/consumer-information
,press,,Accreditation,,,,University,Brookings,https://www.sdstate.edu/academics/accreditation
,press,,Colleges and Departments/Schools,,,,University,Brookings,https://www.sdstate.edu/academics/colleges-departmentsschools
,press,,General Education,,,,University,Brookings,https://www.sdstate.edu/academics/general-education
,press,,Academic Calendar,,,,University,Brookings,https://www.sdstate.edu/academics/academic-calendar
,press,,Academic Catalog,,,,University,Brookings,https://catalog.sdstate.edu
,press,,Graduate School,,,,University,Brookings,https://www.sdstate.edu/graduate-school
,press,,Honors College,,,,University,Brookings,https://www.sdstate.edu/van-d-barbara-b-fishback-honors
,press,,Elevate Magazine,,,,Startup,Pennington,https://rapidcitybusinessjournal.com/elevate-magazine/
,press,,Business Awards Night,,,,Startup,Pennington,resources/awards/
,press,,Black Hills Manufacturing Alliance,,,,Startup,Pennington,blackhillsmfg/
,press,,Workforce,,,,Startup,Pennington,workforce-success/
,press,,Entrepreneur Mentorship Program,,,,Startup,Pennington,innovation/mentors/
,press,,David Lust Accelerator Building,,,,Startup,Pennington,innovation/david-lust-accelerator-building/
,press,,Black Hills Workforce Resources,,,,Startup,Pennington,workforce-talent/ecosystem/
,press,,SkillBridge Program,,,,Startup,Pennington,skillbridge/
,press,,Internship Guide,,,,Startup,Pennington,workforce-talent/internships/
,press,,Scholarships,,,,Startup,Pennington,resources/scholarships/
,press,,Business Advocacy,,,,Startup,Pennington,business-advocacy-quality-growth/
,press,,Crackerbarrels,,,,Startup,Pennington,crackerbarrels/
,press,,Election Resources,,,,Startup,Pennington,business-advocacy/election-resources/
,press,,National Civics Bee,,,,Startup,Pennington,business-advocacy/civics-bee/
,press,,,,,,Startup,Pennington,https://www.facebook.com/ElevateRapidCity/
,press,,Invest in Elevate,,,,Startup,Pennington,forms/investor-information/
,press,,Job Board,,,,Startup,Pennington,https://careers.elevaterapidcity.com/
,press,,Elevate Foundation,,,,Startup,Pennington,foundation/
,press,,Board,,,,Startup,Pennington,about/board-of-directors/
,press,,Staff,,,,Startup,Pennington,staff/
,press,,Annual Report,,,,Startup,Pennington,annual-report/
,press,,Timeline,,,,Startup,Pennington,timeline/
,press,,Careers,,,,Startup,Pennington,careers/
